,striker,bat_id,batting_team,strike_rate,average,strike_rate_powerplay,strike_rate_middle,strike_rate_death,average_powerplay,average_middle,average_death,momentum
0,DP Conway,54,Chennai Super Kings,136.30831643002028,48.0,130.08474576271186,142.05607476635515,141.86046511627907,76.75,50.666666666666664,15.25,-3.9328521882153247
1,RD Gaikwad,166,Chennai Super Kings,140.311004784689,48.875,139.63133640552996,138.30409356725147,156.66666666666666,67.33333333333333,43.0,23.5,3.8324673380317864
2,MM Ali,119,Chennai Super Kings,127.91878172588832,21.0,132.25806451612902,112.60504201680672,163.82978723404256,41.0,19.142857142857142,19.25,-6.286063397062752
3,BA Stokes,37,Chennai Super Kings,100.0,7.5,100.0,87.5,116.66666666666667,,7.0,7.0,-29.65994531784005
4,AT Rayudu,16,Chennai Super Kings,137.3913043478261,15.8,0.0,125.42372881355932,150.0,,12.333333333333334,21.0,-1.8493385417220911
5,S Dube,183,Chennai Super Kings,151.86567164179104,37.0,0.0,142.01680672268907,171.50837988826817,,42.25,30.7,-0.8878424782580993
6,RA Jadeja,163,Chennai Super Kings,138.90577507598783,32.642857142857146,80.0,123.07692307692308,150.990099009901,,72.0,25.416666666666668,5.5240959923048045
7,MS Dhoni,123,Chennai Super Kings,182.75862068965517,37.857142857142854,0.0,0.0,184.02777777777777,,0.0,44.166666666666664,17.366769039922374
8,MJ Santner,115,Chennai Super Kings,72.72727272727273,5.333333333333333,0.0,92.3076923076923,44.44444444444444,,12.0,2.0,-36.774715183806094
9,WP Saha,228,Gujarat Titans,121.58273381294964,20.28,125.60240963855422,105.88235294117646,0.0,20.85,18.0,,-10.558306035620227
10,Shubman Gill,204,Gujarat Titans,150.0570125427594,48.74074074074074,140.66496163682865,154.31472081218274,171.7391304347826,55.0,55.27272727272727,26.333333333333332,5.573805069022359
11,B Sai Sudharsan,36,Gujarat Titans,136.34969325153375,52.294117647058826,109.4170403587444,139.77900552486187,207.46268656716418,122.0,56.22222222222222,23.166666666666668,0.6932582678296224
12,HH Pandya,64,Gujarat Titans,137.7450980392157,24.434782608695652,111.76470588235294,136.0655737704918,160.41666666666666,19.0,33.2,17.11111111111111,2.894169225832973
13,V Shankar,219,Gujarat Titans,140.14598540145985,29.53846153846154,140.47619047619048,110.52631578947368,196.25,59.0,21.0,39.25,2.2438557648180906
14,R Tewatia,162,Gujarat Titans,137.5,22.916666666666668,0.0,79.66101694915254,161.70212765957447,,11.75,28.5,7.751727730477508
15,Rashid Khan,179,Gujarat Titans,164.53900709219857,25.77777777777778,0.0,146.34146341463415,172.0,,60.0,21.5,15.31724482680531
16,P Simran Singh,145,Punjab Kings,150.10845986984816,23.862068965517242,147.72727272727272,148.17518248175182,212.5,28.4375,16.916666666666668,34.0,7.459989860973005
